error,time
-8,1762746319.8577223
-8,1762746319.889462
783,1762746319.9055016
-9,1762746319.9214594
782,1762746319.9374964
-10,1762746319.9535043
-10,1762746319.9695263
783,1762746319.9855697
-11,1762746320.0015507
-10,1762746320.0175707
-9,1762746320.033557
-9,1762746320.0496097
-10,1762746320.0816097
-11,1762746320.0976114
-10,1762746320.1136296
-10,1762746320.129621
-11,1762746320.1456382
-11,1762746320.1616561
-10,1762746320.1776605
-10,1762746320.193674
782,1762746320.209668
-11,1762746320.2256718
782,1762746320.2580132
-11,1762746320.289738
-9,1762746320.305717
-9,1762746320.3216965
-11,1762746320.3377428
-11,1762746320.3537974
-9,1762746320.3697586
-9,1762746320.3857484
-10,1762746320.401786
-10,1762746320.417793
-10,1762746320.4337845
-9,1762746320.4498012
-11,1762746320.4818335
-10,1762746320.4978256
-9,1762746320.5138657
-10,1762746320.5298634
-11,1762746320.5458486
-12,1762746320.5618565
782,1762746320.5778713
-10,1762746320.5938966
782,1762746320.609876
-9,1762746320.625886
-9,1762746320.6418908
-9,1762746320.6579154
-10,1762746320.6739502
-10,1762746320.6899467
-10,1762746320.7059762
-10,1762746320.7219546
-11,1762746320.7379777
-11,1762746320.7541285
-10,1762746320.7700117
-10,1762746320.786025
-8,1762746320.8020082
-12,1762746320.818115
5,1762746320.8339856
5,1762746320.8662567
5,1762746320.8822522
13,1762746320.8983521
13,1762746320.9142222
14,1762746320.930182
14,1762746320.94608
10,1762746320.96216
10,1762746320.978074
10,1762746320.9941022
2,1762746321.0100842
2,1762746321.026095
-3,1762746321.042113
-3,1762746321.0581477
-5,1762746321.0741427
-14,1762746321.090165
-15,1762746321.1061654
-27,1762746321.1221952
782,1762746321.138192
783,1762746321.1542242
782,1762746321.1704118
782,1762746321.186226
782,1762746321.2022398
782,1762746321.218223
782,1762746321.2342458
-77,1762746321.2662804
-77,1762746321.28225
-98,1762746321.2982838
-97,1762746321.3142812
-122,1762746321.3303223
-123,1762746321.3463304
-151,1762746321.3623407
-150,1762746321.3785508
-149,1762746321.3943596
-174,1762746321.4103699
-174,1762746321.4264007
-184,1762746321.4423985
-184,1762746321.458392
-185,1762746321.4744143
-181,1762746321.4904137
782,1762746321.5063949
782,1762746321.52246
-176,1762746321.538461
-158,1762746321.5544443
-158,1762746321.5704846
-157,1762746321.5865836
-139,1762746321.6025162
-139,1762746321.6185842
-116,1762746321.6505902
-116,1762746321.6665907
-117,1762746321.6826072
-91,1762746321.6985784
-90,1762746321.7145722
-62,1762746321.730603
-60,1762746321.7465801
-31,1762746321.7625778
-30,1762746321.7786036
227,1762746321.7946742
3,1762746321.8105733
2,1762746321.8265755
32,1762746321.8426015
32,1762746321.858625
33,1762746321.8746488
64,1762746321.890635
64,1762746321.9066617
85,1762746321.9226866
86,1762746321.9386897
101,1762746321.9546885
101,1762746321.9706929
100,1762746321.9867077
108,1762746322.0028946
108,1762746322.01887
105,1762746322.0508091
106,1762746322.0667994
106,1762746322.0827937
101,1762746322.0988765
101,1762746322.1149008
88,1762746322.1307726
87,1762746322.1468024
73,1762746322.162907
72,1762746322.178813
72,1762746322.194869
51,1762746322.2109184
52,1762746322.2268302
30,1762746322.2428412
31,1762746322.2588494
30,1762746322.2748873
7,1762746322.2908852
6,1762746322.3068976
-21,1762746322.3229282
-20,1762746322.338965
-58,1762746322.3550634
-56,1762746322.370934
-56,1762746322.3869586
-92,1762746322.402965
-90,1762746322.4190404
-127,1762746322.451023
-128,1762746322.4670353
-127,1762746322.4830213
-157,1762746322.499033
-157,1762746322.515025
-181,1762746322.531079
-180,1762746322.5470834
-194,1762746322.5630763
-195,1762746322.5790923
-196,1762746322.595201
-200,1762746322.611136
-199,1762746322.6271503
